title,price,image
Сотовый телефон Apple iPhone 13 128GB розовый,55590 сом,/images/product/97909/1631809348_37875500.jpg
Сотовый телефон Xiaomi Redmi 12 4/128GB NFC голубой,11940 сом,/images/product/126325/1694582112_70321000.jpg
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB черный,67450 сом,/images/product/104822/1648319089_75835000.png
Сотовый телефон Xiaomi Poco F5 8/256GB черный,29270 сом,/images/product/124534/1691217632_93865400.jpg
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB белый,67450 сом,/images/product/104823/1648319267_14637700.png
Сотовый телефон Xiaomi Poco F5 8/256GB синий,29270 сом,/images/product/124535/1691217726_00575200.jpg
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB фиолетовый,67450 сом,/images/product/104824/1648319379_27545800.png
Сотовый телефон Xiaomi 12 Lite 8/128GB черный,30080 сом,/images/product/108408/1657099394_89184600.jpg
Сотовый телефон Xiaomi Redmi Note 12 4G 6/128GB золотой,13740 сом,/images/product/124536/1691234024_05099400.jpg
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB зеленый,67450 сом,/images/product/104825/1648319473_69430100.png
Сотовый телефон Xiaomi 12 Lite 8/128GB зеленый,30080 сом,/images/product/108409/1657099397_38474300.jpg
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB серый,67450 сом,/images/product/104826/1648319584_65168500.png
Сотовый телефон Xiaomi 12 Lite 8/128GB розовый,30080 сом,/images/product/108410/1657099399_63123100.jpg
Сотовый телефон Xiaomi Redmi Note 12 Pro Plus 5G 8/256GB черный,28380 сом,/images/product/120442/1682331253_53840500.jpg
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB красный,67450 сом,/images/product/104827/1648319672_36030400.png
Сотовый телефон Xiaomi Redmi Note 12 Pro Plus 5G 8/256GB голубой,28380 сом,/images/product/120443/1682331306_66467500.jpg
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB голубой,67450 сом,/images/product/104828/1648319758_15378800.png
Сотовый телефон Xiaomi Redmi 12C 3/64GB черный,9170 сом,/images/product/118141/1677918704_20745500.jpg
Сотовый телефон Xiaomi 12X 8/256GB фиолетовый,31880 сом,/images/product/104831/1648320483_40571400.jpg
Сотовый телефон Xiaomi Redmi Note 12 4G NFC 6/128GB голубой,13020 сом,/images/product/126594/1694935020_77397500.jpg
Сотовый телефон Xiaomi Redmi Note 12 4G NFC 6/128GB золотой,13020 сом,/images/product/126595/1694935138_97189100.jpg
Сотовый телефон Xiaomi Poco M5 4/128GB черный,10960 сом,/images/product/111237/1663840034_78846000.jpg
